LAT,LONG,DMS_LAT,DMS_LONG,FC,DSG,PC,CC1,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD
39.048706,46.444519,39:02:55N,46:26:40E,H,FLLS,,AM,N,hye,,,VARSER,Varser,Varser,VARSER,Varser,Varser,,05/02/2016,12,1,17217167,hye_Armn2Latn_BGN_1981
39.726501,45.865295,39:43:35N,45:51:55E,H,FLLS,,AM,NS,hye,,,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,,09/02/2016,12,,17227095,
39.726501,45.865295,39:43:35N,45:51:55E,H,FLLS,,AM,N,hye,,,CHRRCHYRR,Ch’rrch’yrr,Ch'rrch'yrr,CHRRCHYRR,Ch’rrch’yrr,Ch'rrch'yrr,,09/02/2016,12,1,17227721,hye_Armn2Latn_BGN_1981
40.25708,44.170898,40:15:25N,44:10:15E,H,FLLS,,AM,N,hye,,,KHRKHNJAK,Khrkhnjak,Khrkhnjak,KHRKHNJAK,Khrkhnjak,Khrkhnjak,,18/02/2016,12,1,17254226,hye_Armn2Latn_BGN_1981
40.25708,44.170898,40:15:25N,44:10:15E,H,FLLS,,AM,NS,hye,,,Խրխնջակ,Խրխնջակ,Խրխնջակ,Խրխնջակ,Խրխնջակ,Խրխնջակ,,18/02/2016,12,,17250494,
40.309692,44.211121,40:18:35N,44:12:40E,H,FLLS,,AM,N,hye,,,CHRRIK,Ch’rrik,Ch'rrik,CHRRIK,Ch’rrik,Ch'rrik,,18/02/2016,12,1,17254564,hye_Armn2Latn_BGN_1981
40.309692,44.211121,40:18:35N,44:12:40E,H,FLLS,,AM,NS,hye,,,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,,18/02/2016,12,,17250829,
40.365295,44.122314,40:21:55N,44:07:20E,H,FLLS,,AM,N,hye,,,CHRRIK,Ch’rrik,Ch'rrik,CHRRIK,Ch’rrik,Ch'rrik,,18/02/2016,12,1,17254358,hye_Armn2Latn_BGN_1981
40.365295,44.122314,40:21:55N,44:07:20E,H,FLLS,,AM,NS,hye,,,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,,18/02/2016,12,,17250625,
39.551514,45.501526,39:33:05N,45:30:05E,H,FLLS,,AM,N,hye,,,KHSHKHSHAN,Khshkhshan,Khshkhshan,KHSHKHSHAN,Khshkhshan,Khshkhshan,,18/05/2016,12,1,17454888,hye_Armn2Latn_BGN_1981
39.551514,45.501526,39:33:05N,45:30:05E,H,FLLS,,AM,NS,hye,,,Խշխշան,Խշխշան,Խշխշան,Խշխշան,Խշխշան,Խշխշան,,18/05/2016,12,,17454501,
39.527893,45.505676,39:31:40N,45:30:20E,H,FLLS,,AM,NS,hye,,,Չռա,Չռա,Չռա,Չռա,Չռա,Չռա,,18/05/2016,12,,17454237,
39.527893,45.505676,39:31:40N,45:30:20E,H,FLLS,,AM,N,hye,,,CHRRA,Ch’rra,Ch'rra,CHRRA,Ch’rra,Ch'rra,,18/05/2016,12,1,17454605,hye_Armn2Latn_BGN_1981
39.5625,45.504089,39:33:45N,45:30:15E,H,FLLS,,AM,N,hye,,,HOVVI,Hovvi,Hovvi,HOVVI,Hovvi,Hovvi,,18/05/2016,12,1,17454892,hye_Armn2Latn_BGN_1981
39.5625,45.504089,39:33:45N,45:30:15E,H,FLLS,,AM,NS,hye,,,Հովվի,Հովվի,Հովվի,Հովվի,Հովվի,Հովվի,,18/05/2016,12,,17454426,
40.354309,44.391724,40:21:16N,44:23:30E,H,FLLS,,AM,N,hye,,,SINORR,Sinorr,Sinorr,SINORR,Sinorr,Sinorr,,06/07/2016,12,1,17546029,hye_Armn2Latn_BGN_1981
40.354309,44.391724,40:21:16N,44:23:30E,H,FLLS,,AM,NS,hye,,,Սինոռ,Սինոռ,Սինոռ,Սինոռ,Սինոռ,Սինոռ,,06/07/2016,12,,17544997,
40.986084,43.869507,40:59:10N,43:52:10E,H,FLLS,,AM,NS,hye,,,Հովտան,Հովտան,Հովտան,Հովտան,Հովտան,Հովտան,,17/10/2016,12,,17783862,
40.986084,43.869507,40:59:10N,43:52:10E,H,FLLS,,AM,N,hye,,,HOVTAN,Hovtan,Hovtan,HOVTAN,Hovtan,Hovtan,,17/10/2016,12,1,17784751,hye_Armn2Latn_BGN_1981
